playerId,firstName,lastName,teamId,pos,points,totReb,assists,steals,blocks,turnovers,fantasyPoints
2,Quincy,Acy,28,NA,2.8,1.8,1.2,0.2,0.8,0.4,8.36
4,Steven,Adams,23,C,7.8,11.4,2.2,0.4,0.8,0.4,26.780000000000005
8,LaMarcus,Aldridge,31,NA,13.0,5.25,2.75,0.75,2.0,1.25,27.675
12,Al-Farouq,Aminu,6,NA,0.0,0.8,0.2,0.0,0.0,0.0,1.26
18,Kyle,Anderson,19,PF,8.8,6.6,5.0,1.0,1.4,0.0,29.02
20,Giannis,Antetokounmpo,21,PF,29.6,9.2,3.6,1.0,1.4,4.2,46.63999999999999
21,Carmelo,Anthony,29,NA,18.4,3.0,1.6,0.2,0.4,1.4,24.2
23,Trevor,Ariza,20,PF,11.6,5.2,2.2,0.6,0.4,1.2,21.94
28,D.J.,Augustin,14,NA,7.0,1.5,3.5,0.25,0.0,0.75,13.8
33,Wade,Baldwin IV,29,NA,0.8,1.2,0.4,0.2,0.0,0.6,2.64
35,J.J.,Barea,8,NA,0.6,0.0,0.0,0.0,0.0,0.2,0.39999999999999997
36,Harrison,Barnes,30,SF,18.4,6.6,2.4,1.0,0.2,2.0,30.319999999999993
38,Will,Barton,9,SG,13.8,3.0,3.6,0.8,0.2,2.4,22.4
40,Nicolas,Batum,16,NA,7.4,4.2,1.8,0.8,1.6,1.4,18.540000000000003
42,Aron,Baynes,38,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Kent,Bazemore,11,SG,10.4,3.0,1.4,0.8,0.0,2.0,15.700000000000003
45,Bradley,Beal,41,SG,31.4,4.4,3.6,1.6,0.2,2.6,43.08
46,Malik,Beasley,22,NA,8.4,1.2,1.4,0.6,0.2,1.2,12.34
47,Michael,Beasley,17,NA,6.2,2.8,1.4,0.4,0.6,1.0,12.66
48,Marco,Belinelli,31,NA,8.8,1.8,1.0,0.4,0.0,0.6,12.660000000000002
49,DeAndre',Bembry,38,PG,5.8,3.2,1.6,1.4,0.6,3.0,13.04
52,Davis,Bertans,41,NA,14.4,4.4,1.0,0.4,0.4,0.4,22.380000000000003
53,Patrick,Beverley,16,PG,5.5,2.0,1.5,0.5,0.5,0.0,12.15
54,Bismack,Biyombo,5,C,2.0,2.4,0.4,0.4,0.4,0.8,6.28
55,Nemanja,Bjelica,20,NA,0.0,0.2,0.0,0.0,0.0,0.0,0.24
59,Eric,Bledsoe,23,PG,11.0,3.0,2.6,0.6,0.2,2.2,17.9
60,Bojan,Bogdanovic,40,SF,23.6,4.2,1.8,0.8,0.0,2.4,30.54
64,Devin,Booker,28,SG,18.6,4.0,4.8,1.4,0.4,2.6,31.599999999999994
65,Trevor,Booker,15,NA,2.6,2.2,0.0,0.2,0.2,0.0,6.040000000000001
68,Avery,Bradley,14,NA,4.8,2.6,2.4,1.2,0.2,1.2,13.120000000000001
70,Corey,Brewer,30,NA,0.2,0.8,0.0,0.2,0.0,0.4,1.1600000000000001
71,Malcolm,Brogdon,15,PG,23.0,6.6,6.0,0.2,0.6,1.8,39.720000000000006
75,Jaylen,Brown,2,SF,28.4,7.2,2.8,1.2,1.0,2.8,42.839999999999996
76,Lorenzo,Brown,38,NA,0.6,0.4,0.2,0.4,0.0,0.0,2.18
77,Markel,Brown,14,NA,4.6,1.8,1.2,0.4,0.0,1.2,8.16
82,Reggie,Bullock,24,SF,14.0,3.8,2.2,0.8,0.2,0.8,23.06
83,Trey,Burke,8,NA,0.4,0.0,0.0,0.0,0.0,0.2,0.2
84,Alec,Burks,24,NA,8.6,5.2,2.2,0.0,0.2,1.0,17.54
86,Jimmy,Butler,20,SF,20.333333333333332,6.666666666666667,9.333333333333334,2.3333333333333335,0.3333333333333333,1.6666666666666667,45.99999999999999
89,Kentavious,Caldwell-Pope,17,SG,12.6,3.0,2.0,1.4,0.8,0.6,23.0
92,Clint,Capela,1,C,19.8,20.4,0.4,1.0,1.8,0.6,49.88
93,DeMarre,Carroll,14,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Michael,Carter-Williams,26,NA,8.5,2.75,2.75,1.75,0.5,2.0,18.425
97,Willie,Cauley-Stein,8,NA,2.4,1.8,0.2,0.0,0.2,0.2,5.0600000000000005
101,Tyson,Chandler,14,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Wilson,Chandler,4,NA,5.0,2.6,0.8,0.0,0.2,0.8,8.92
108,Ian,Clark,23,SG,17.8,3.2,3.2,1.0,0.6,2.2,27.44
109,Jordan,Clarkson,40,NA,18.8,3.6,1.4,1.0,0.2,1.8,25.819999999999997
111,Darren,Collison,15,PG,7.8,1.8,4.2,0.6,0.0,2.2,15.260000000000002
114,Mike,Conley,40,PG,15.2,2.6,8.2,1.0,0.4,2.0,31.419999999999995
